race_id,office,loc_date,state,abbrev,year,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running
2018_AZ_sen,AZ_sen,AZ_2018,Arizona,AZ,2018,TBD,TBD,1,0,0,0,0
2018_CA_sen,CA_sen,CA_2018,California,CA,2018,TBD,TBD,0,1,0,0,1
2018_CT_sen,CT_sen,CT_2018,Connecticut,CT,2018,TBD,TBD,0,1,0,0,1
2018_DE_sen,DE_sen,DE_2018,Delaware,DE,2018,TBD,TBD,0,1,0,0,1
2018_FL_sen,FL_sen,FL_2018,Florida,FL,2018,TBD,TBD,0,1,0,0,1
2018_HI_sen,HI_sen,HI_2018,Hawaii,HI,2018,TBD,TBD,0,1,0,0,1
2018_IN_sen,IN_sen,IN_2018,Indiana,IN,2018,TBD,TBD,0,1,0,0,1
2018_ME_sen,ME_sen,ME_2018,Maine,ME,2018,TBD,TBD,0,1,0,0,0
2018_MD_sen,MD_sen,MD_2018,Maryland,MD,2018,TBD,TBD,0,1,0,0,1
2018_MA_sen,MA_sen,MA_2018,Massachusetts,MA,2018,TBD,TBD,0,1,0,0,1
2018_MI_sen,MI_sen,MI_2018,Michigan,MI,2018,TBD,TBD,0,1,0,0,1
2018_MN_sen1,MN_sen1,MN_2018,Minnesota,MN,2018,TBD,TBD,0,1,0,0,1
2018_MN_sen2,MN_sen2,MN_2018,Minnesota special election,MN,2018,TBD,TBD,0,1,0,0,1
2018_MS_sen,MS_sen,MI_2018,Mississippi,MS,2018,TBD,TBD,1,0,0,1,0
2018_MS_sen,MS_sen,MI_2018,Mississippi special election,MS,2018,TBD,TBD,1,0,0,1,0
2018_MO_sen,MO_sen,MO_2018,Missouri,MO,2018,TBD,TBD,0,1,0,0,1
2018_MT_sen,MT_sen,MT_2018,Montana,MT,2018,TBD,TBD,0,1,0,0,1
2018_NE_sen,NE_sen,NE_2018,Nebraska,NE,2018,TBD,TBD,1,0,0,1,0
2018_NV_sen,NV_sen,NV_2018,Nevada,NV,2018,TBD,TBD,1,0,0,1,0
2018_NJ_sen,NJ_sen,NJ_2018,New Jersey,NJ,2018,TBD,TBD,0,1,0,0,1
2018_NM_sen,NM_sen,NM_2018,New Mexico,NM,2018,TBD,TBD,0,1,0,0,1
2018_NY_sen,NY_sen,NY_2018,New York,NY,2018,TBD,TBD,0,1,0,0,1
2018_ND_sen,ND_sen,ND_2018,North Dakota,ND,2018,TBD,TBD,0,1,0,0,1
2018_OH_sen,OH_sen,OH_2018,Ohio,OH,2018,TBD,TBD,0,1,0,0,1
2018_PA_sen,PA_sen,PA_2018,Pennsylvania,PA,2018,TBD,TBD,0,1,0,0,1
2018_RI_sen,RI_sen,RI_2018,Rhode Island,RI,2018,TBD,TBD,0,1,0,0,1
2018_TN_sen,TN_sen,TN_2018,Tennessee,TN,2018,TBD,TBD,1,0,0,0,0
2018_TX_sen,TX_sen,TX_2018,Texas,TX,2018,TBD,TBD,1,0,0,1,0
2018_UT_sen,UT_sen,UT_2018,Utah,UT,2018,TBD,TBD,1,0,0,0,0
2018_VT_sen,VT_sen,VT_2018,Vermont,VT,2018,TBD,TBD,0,1,0,0,1
2018_VA_sen,VA_sen,VA_2018,Virginia,VA,2018,TBD,TBD,0,1,0,0,1
2018_WA_sen,WA_sen,WA_2018,Washington,WA,2018,TBD,TBD,0,1,0,0,1
2018_WV_sen,WV_sen,WV_2018,West Virginia,WV,2018,TBD,TBD,0,1,0,0,1
2018_WI_sen,WI_sen,WI_2018,Wisconsin,WI,2018,TBD,TBD,0,1,0,0,1
2018_WY_sen,WY_sen,WY_2018,Wyoming,WY,2018,TBD,TBD,1,0,0,1,0
