year,state,abbrev,combo1,combo2,total_population,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
1970,Alabama,AL,Alabama_1970,AL_1970,3444165,1661941,1782224,1233520,619880,1115478,475287,2494983,903467,2443,4424,38848,0.482538148,0.517461852,0.358147766,0.179979763,0.323874727,0.137997744,0.724408674,0.262318153,0.000709316,0.001284491,0.011279367
1971,Alabama,AL,Alabama_1971,AL_1971,3489137,1682900,1806237,1226393,640938,1133137,488670,2529484,912749,3129,5048,38293,0.482325572,0.517674428,0.351488921,0.183695281,0.324761395,0.14005469,0.724959782,0.261597352,0.000896783,0.001446776,0.01097492
1972,Alabama,AL,Alabama_1972,AL_1972,3534110,1703860,1830250,1219266,661997,1150795,502052,2563985,922030,3815,5671,37738,0.482118553,0.517881447,0.344999448,0.187316467,0.325625122,0.142058963,0.72549666,0.260894539,0.00107948,0.001604647,0.010678219
1973,Alabama,AL,Alabama_1973,AL_1973,3579082,1724819,1854263,1212138,683055,1168454,515435,2598485,931312,4501,6295,37183,0.481916592,0.518083408,0.338672878,0.190846424,0.326467513,0.144013186,0.726019968,0.260209741,0.001257585,0.001758831,0.010388977
1974,Alabama,AL,Alabama_1974,AL_1974,3624054,1745778,1878276,1205011,704113,1186112,528818,2632986,940593,5187,6918,36628,0.481719643,0.518280357,0.3325036,0.194288772,0.327288721,0.145918907,0.726530565,0.259541662,0.00143127,0.001908912,0.010106913
1975,Alabama,AL,Alabama_1975,AL_1975,3669027,1766738,1902289,1197884,725172,1203771,542201,2667486,949875,5874,7542,36074,0.481527664,0.518472336,0.326485469,0.197646951,0.328089981,0.147777871,0.727028174,0.258890164,0.001600969,0.002055586,0.009832034
1976,Alabama,AL,Alabama_1976,AL_1976,3713999,1787697,1926302,1190757,746230,1221429,555583,2701987,959157,6560,8166,35519,0.481340194,0.518659806,0.320613172,0.200923587,0.328871656,0.149591586,0.727514197,0.258254512,0.00176629,0.002198708,0.009563546
1977,Alabama,AL,Alabama_1977,AL_1977,3758971,1808656,1950315,1183630,767288,1239088,568966,2736488,968438,7246,8789,34964,0.48115721,0.51884279,0.314881386,0.20412182,0.329634892,0.151362168,0.72798859,0.257633805,0.001927655,0.00233814,0.009301482
1978,Alabama,AL,Alabama_1978,AL_1978,3803943,1829615,1974328,1176502,788346,1256746,582349,2770988,977720,7932,9413,34409,0.480978553,0.519021447,0.309284866,0.20724443,0.330379819,0.153090885,0.728451504,0.257028036,0.002085205,0.002474538,0.009045614
1979,Alabama,AL,Alabama_1979,AL_1979,3848916,1850575,1998341,1169375,809405,1274405,595731,2805489,987001,8618,10036,33854,0.480804206,0.519195794,0.303819309,0.210294275,0.331107512,0.154778904,0.728903671,0.256436098,0.002239072,0.002607487,0.008795723
1980,Alabama,AL,Alabama_1980,AL_1980,3893888,1871534,2022354,1162248,830463,1292063,609114,2839990,996283,9304,10660,33299,0.480633752,0.519366248,0.29848008,0.213273469,0.331818224,0.156428228,0.72934558,0.255858155,0.002389386,0.002737624,0.008551607
1981,Alabama,AL,Alabama_1981,AL_1981,3908558,1877997,2030561,1151902,823706,1314417,618533,2851108,998725,10024,12352,32432,0.480483339,0.519516661,0.294712782,0.210744218,0.336292055,0.158250946,0.729452652,0.255522625,0.002564629,0.003160245,0.008297689
1982,Alabama,AL,Alabama_1982,AL_1982,3923228,1884460,2038768,1141556,816950,1336771,627951,2862226,1001167,10744,14044,31565,0.480334051,0.519665949,0.290973657,0.208234138,0.340732427,0.160059777,0.729558924,0.255189604,0.002738561,0.003579705,0.008045671
1983,Alabama,AL,Alabama_1983,AL_1983,3937897,1890922,2046975,1131210,810193,1359125,637370,2873343,1003610,11465,15736,30698,0.480185744,0.519814256,0.287262465,0.205742558,0.345139804,0.161855427,0.729664336,0.254859383,0.002911452,0.003996042,0.007795531
