,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running,prez_GOP,approval_effects_GOP,approval_effects_DEM,nat_UR_effects_GOP,nat_UR_effects_DEM,state_UR_effects_GOP,state_UR_effects_DEM,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
0,AL_gov_1978,AL_gov,AL_1978,Alabama,AL,1978,0,Fob James,H  Guy Hunt,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.5,1829615,1974328,1176502,788346,1256746,582349,2770988,977720,7932,9413,34409,0.480978553,0.5190214470000001,0.309284866,0.20724443,0.33037981899999996,0.153090885,0.728451504,0.257028036,0.002085205,0.002474538,0.009045614
1,AK_gov_1978,AK_gov,AK_1978,Alaska,AK,1978,0,Walter Joseph Hickel ,Chancy Croft,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,10.2,203084,178473,128568,101180,133656,18154,288403,12781,54741,14337,8525,0.532250752,0.46774924799999995,0.336956208,0.26517663199999997,0.350291044,0.047578737,0.7558582340000001,0.033496961,0.143467424,0.037574988999999996,0.022342663999999998
2,AK_gov_1978,AK_gov,AK_1978,Alaska,AK,1978,0,Walter Joseph Hickel ,Chancy Croft,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.4,203084,178473,128568,101180,133656,18154,288403,12781,54741,14337,8525,0.532250752,0.46774924799999995,0.336956208,0.26517663199999997,0.350291044,0.047578737,0.7558582340000001,0.033496961,0.143467424,0.037574988999999996,0.022342663999999998
3,AZ_gov_1978,AZ_gov,AZ_1978,Arizona,AZ,1978,1,Evan Mecham,V  Gene Lewter,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.7,1244555,1284197,761985,549484,825128,392155,1723705,69996,142674,23009,405515,0.492161746,0.5078382539999999,0.30132848100000004,0.21729453899999998,0.326298506,0.155078473,0.681642565,0.027680057,0.056420717,0.009098955,0.160361712
4,CA_gov_1978,CA_gov,CA_1978,California,CA,1978,1,Evelle J  Younger,Ed Clark,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.8,11296525,11628423,6438361,5169058,8077838,3239692,14019966,1734957,203565,1190567,4109323,0.492761205,0.507238795,0.280845174,0.225477414,0.352360145,0.141317311,0.611559337,0.075679866,0.008879628,0.051933248,0.179251137
5,CO_gov_1978,CO_gov,CO_1978,Colorado,CO,1978,1,Ted L  Strickland,Roy Peister,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.1,1365310,1388113,801853,666524,951729,333317,2178611,94638,18579,31338,316875,0.49585915399999997,0.504140846,0.291220419,0.242071051,0.345653029,0.121055501,0.7912373070000001,0.034371036,0.006747601,0.01138147,0.115084025
6,CT_gov_1978,CT_gov,CT_1978,Connecticut,CT,1978,1,Ronald A  Sarasin,Unopposed,0,1,1,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.1,1492501,1599901,862527,613936,1115715,500225,2703274,209548,4350,19463,112691,0.48263485799999994,0.5173651420000001,0.278918135,0.19853046300000002,0.360792355,0.16175937,0.874166425,0.067762212,0.001406674,0.0062938130000000005,0.036441252
7,FL_gov_1978,FL_gov,FL_1978,Florida,FL,1978,0,Bob Graham,Jack Eckerd,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.6,4395615,4759333,2309517,1727253,3046739,2071438,6924219,1282837,21340,54366,767534,0.480135442,0.519864558,0.252269811,0.18866879399999997,0.332796975,0.22626431100000002,0.7563362459999999,0.14012499,0.00233098,0.005938428000000001,0.083838161
8,GA_gov_1978,GA_gov,GA_1978,Georgia,GA,1978,1,Rodney M  Cook,Unopposed,0,1,1,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.8,2558495,2729904,1645762,1154487,1793466,694685,3779849,1408978,8533,22575,58066,0.48379386700000004,0.516206133,0.311202313,0.218305578,0.339132127,0.131360172,0.714743536,0.266428082,0.0016135320000000002,0.004268778,0.010979883000000001
9,HI_gov_1978,HI_gov,HI_1978,Hawaii,HI,1978,1,John R  Leopold,Alema Leota ,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.8,475587,449878,275392,223823,321597,104653,263197,15664,2606,564868,61975,0.513889774,0.48611022600000003,0.297571491,0.241849233,0.347497744,0.113081532,0.284394331,0.016925546,0.002815882,0.610361278,0.066966336
10,ID_gov_1978,ID_gov,ID_1978,Idaho,ID,1978,1,Allan Larsen,Wayne Loveless,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.8,448074,449587,297978,189360,285229,125094,830489,2595,9756,6366,32507,0.499157254,0.500842746,0.331949366,0.210948231,0.3177469,0.13935550300000002,0.92516997,0.002890846,0.010868245,0.007091764,0.036213002
11,IL_gov_1978,IL_gov,IL_1978,Illinois,IL,1978,0,Michael Bakalis,Georgia Shields,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.7,5508397,5855613,3353554,2390406,3888057,1731993,8747040,1624708,17972,153072,587122,0.48472299799999996,0.515277002,0.295103049,0.210348812,0.34213776700000004,0.15241037300000002,0.769714212,0.142969603,0.001581484,0.013469893,0.051665037000000004
12,IA_gov_1978,IA_gov,IA_1978,Iowa,IA,1978,0,Jerome D  Fitzgerald,John Ball,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.9,1407685,1488236,855686,600380,927854,512002,2804981,40302,5672,12283,24632,0.486092335,0.513907665,0.295479745,0.207319191,0.320400315,0.176801094,0.96859721,0.013916816,0.001958617,0.004241483,0.008505757
13,KS_gov_1978,KS_gov,KS_1978,Kansas,KS,1978,0,John W  Carlin,Frank W  Shelton Jr ,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.0,1145867,1194391,668499,506177,762237,403346,2098954,122480,16102,15803,61496,0.489632767,0.510367233,0.285651838,0.21629111,0.325706396,0.17235108300000002,0.8968900009999999,0.05233611,0.006880438000000001,0.006752674,0.026277445
14,ME_gov_1978,ME_gov,ME_1978,Maine,ME,1978,0,Joseph E  Brennan,Linwood E,0,0,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,6.3,533561,564577,325879,220745,366105,185408,1082946,3265,3931,2814,4491,0.485877913,0.5141220870000001,0.296755963,0.20101754100000002,0.33338706100000004,0.168838525,0.986165673,0.002973215,0.003579696,0.002562519,0.00408965
15,MD_gov_1978,MD_gov,MD_1978,Maryland,MD,1978,0,Harry Hughes,John,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.5,2017512,2140548,1210322,887264,1510995,549479,3111002,905830,8108,59118,60889,0.48520512,0.51479488,0.291078532,0.213384126,0.36338941700000005,0.132147925,0.748185933,0.217849189,0.001949948,0.014217688000000001,0.014643608
16,MA_gov_1978,MA_gov,MA_1978,Massachusetts,MA,1978,0,Edward J  King,Francis W,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.0,2728594,2998870,1567464,1227090,1951983,980926,5272183,211987,8253,48343,126064,0.476405264,0.5235947360000001,0.273675051,0.21424665399999998,0.34081104700000003,0.171267074,0.9205091470000001,0.037012367000000004,0.0014409520000000001,0.008440559,0.02201044
17,MI_gov_1978,MI_gov,MI_1978,Michigan,MI,1978,0,William B  Fitzgerald Jr ,Unopposed,1,0,1,0,0,0.0,0.0,13.0,0.0,5.8,0.0,7.0,4482681,4701998,2851863,1976825,3093638,1262354,7721151,1155955,39306,56851,160166,0.488060715,0.511939285,0.310502196,0.215230712,0.336825925,0.137441276,0.8406555090000001,0.125856875,0.0042795179999999995,0.006189764,0.017438388
18,MN_gov_1978,MN_gov,MN_1978,Minnesota,MN,1978,1,Al Quie,Richard Pedersen,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.8,1971023,2050747,1213744,874126,1300864,633036,3867678,48834,34010,27968,33150,0.490088444,0.509911556,0.30179348899999997,0.21734858,0.323455593,0.157402338,0.961685527,0.012142415,0.008456476,0.006954152,0.008242639
19,NE_gov_1978,NE_gov,NE_1978,Nebraska,NE,1978,1,Charles Thone,Gerald T  Whelan,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,2.8,757606,794952,459234,328373,496303,268649,1453779,46339,8642,7370,26570,0.487972752,0.512027248,0.295791848,0.211504498,0.31966792899999996,0.17303637,0.936376612,0.029846872000000003,0.005566298000000001,0.004747005,0.017113692
20,NV_gov_1978,NV_gov,NV_1978,Nevada,NV,1978,1,Robert List,Robert E  Rose,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,4.6,373608,364534,206669,163187,277446,90840,604874,46515,13062,13458,47204,0.506146514,0.493853486,0.279985423,0.221078058,0.37587076700000005,0.12306575199999999,0.819454793,0.06301633,0.017695782,0.018232263999999998,0.063949755
21,NH_gov_1978,NH_gov,NH_1978,New_Hampshire,NH,1978,0,Hugh Gallen,Wesley Powell,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.5,430904,453120,257308,186904,303643,136170,870136,3960,1180,3033,4926,0.48743473,0.51256527,0.291064496,0.211424124,0.343478231,0.15403428,0.984290019,0.004479515999999999,0.001334805,0.003430902,0.005572247
