month,year,unemployment_rate_national_oct
10,1964,5.1
10,1965,4.2
10,1966,3.7
10,1967,4
10,1968,3.4
10,1969,3.7
10,1970,5.5
10,1971,5.8
10,1972,5.6
10,1973,4.6
10,1974,6
10,1975,8.4
10,1976,7.7
10,1977,6.8
10,1978,5.8
10,1979,6
10,1980,7.5
10,1981,7.9
10,1982,10.4
10,1983,8.8
10,1984,7.4
10,1985,7.1
10,1986,7
10,1987,6
10,1988,5.4
10,1989,5.3
10,1990,5.9
10,1991,7
10,1992,7.3
10,1993,6.8
10,1994,5.8
10,1995,5.5
10,1996,5.2
10,1997,4.7
10,1998,4.5
10,1999,4.1
10,2000,3.9
10,2001,5.3
10,2002,5.7
10,2003,6
10,2004,5.5
10,2005,5
10,2006,4.4
10,2007,4.7
10,2008,6.5
10,2009,10
10,2010,9.4
10,2011,8.8
10,2012,7.8
10,2013,7.2
10,2014,5.7
10,2015,5
10,2016,4.9
10,2017,4.1
