,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running
0,AL_gov_1978,AL_gov,AL_1978,Alabama,AL,1978,0,Fob James,H  Guy Hunt,0,1,0,0,0
1,AL_gov_1982,AL_gov,AL_1982,Alabama,AL,1982,0,George Wallace,Emory Folmar,0,1,0,0,0
2,AL_gov_1986,AL_gov,AL_1986,Alabama,AL,1986,1,H  Guy Hunt,Bill Baxley,0,1,0,0,0
3,AL_gov_1990,AL_gov,AL_1990,Alabama,AL,1990,0,Paul Hubbert,Unopposed,1,0,1,0,0
4,AL_gov_1994,AL_gov,AL_1994,Alabama,AL,1994,1,Fob James,Unopposed,0,1,1,0,0
5,AL_gov_1998,AL_gov,AL_1998,Alabama,AL,1998,0,Don Siegelman,Unopposed,1,0,1,0,0
6,AL_gov_2002,AL_gov,AL_2002,Alabama,AL,2002,1,Bob Riley,John Sophocleus,0,1,0,0,0
7,AL_gov_2006,AL_gov,AL_2006,Alabama,AL,2006,1,Bob Riley,Lucy Baxley,1,0,0,1,0
8,AL_gov_2010,AL_gov,AL_2010,Alabama,AL,2010,1,Robert Bentley,nRon Sparks  D,1,0,0,0,0
9,AL_gov_2014,AL_gov,AL_2014,Alabama,AL,2014,1,Robert Bentley,Parker Griffith  D,1,0,0,1,0
10,AK_gov_1978,AK_gov,AK_1978,Alaska,AK,1978,0,Walter Joseph Hickel ,Chancy Croft,1,0,0,0,0
11,AK_gov_1982,AK_gov,AK_1982,Alaska,AK,1982,0,Bill Sheffield,Tom Fink,1,0,0,0,0
12,AK_gov_1986,AK_gov,AK_1986,Alaska,AK,1986,0,Steve Cowper,Arliss Sturgulewski,0,1,0,0,0
13,AK_gov_1990,AK_gov,AK_1990,Alaska,AK,1990,0,Walter Joseph Hickel ,Tony Knowles,0,1,0,0,0
14,AK_gov_1994,AK_gov,AK_1994,Alaska,AK,1994,0,Tony Knowles,Jim Campbell,1,0,0,0,0
15,AK_gov_1998,AK_gov,AK_1998,Alaska,AK,1998,0,Robin Taylor ,John Lindauer,0,1,0,0,0
16,AK_gov_2002,AK_gov,AK_2002,Alaska,AK,2002,1,Frank Murkowski,Fran Ulmer,0,1,0,0,0
17,AK_gov_2006,AK_gov,AK_2006,Alaska,AK,2006,1,Sarah Palin,Tony Knowles,1,0,0,0,0
18,AK_gov_2010,AK_gov,AK_2010,Alaska,AK,2010,0,Ethan Berkowitz,Billy Toien  L,1,0,0,0,0
19,AK_gov_2014,AK_gov,AK_2014,Alaska,AK,2014,0,Bill Walker  I    Sean Parnell  R    J  R  Myers  Constitution   Carolyn Clift  L,Unopposed,1,0,1,1,0
20,AZ_gov_1978,AZ_gov,AZ_1978,Arizona,AZ,1978,1,Evan Mecham,V  Gene Lewter,0,1,0,0,0
21,AZ_gov_1982,AZ_gov,AZ_1982,Arizona,AZ,1982,1,Leo Corbet,Sam Steiger,0,1,0,0,0
22,AZ_gov_1986,AZ_gov,AZ_1986,Arizona,AZ,1986,1,Evan Mecham,Carolyn Warner,0,1,0,0,0
23,AZ_gov_1990,AZ_gov,AZ_1990,Arizona,AZ,1990,1,Fife Symington III,Terry Goddard  Democratic,0,1,0,0,0
24,AZ_gov_1994,AZ_gov,AZ_1994,Arizona,AZ,1994,0,Eddie Basha,John Buttrick,1,0,0,0,0
25,AZ_gov_1998,AZ_gov,AZ_1998,Arizona,AZ,1998,0,Paul Johnson,Katherine Gallant,1,0,0,0,0
26,AZ_gov_2002,AZ_gov,AZ_2002,Arizona,AZ,2002,0,Janet Napolitano,Matt Salmon,1,0,0,0,0
27,AZ_gov_2006,AZ_gov,AZ_2006,Arizona,AZ,2006,0,Janet Napolitano,Len Munsil,0,1,0,0,1
28,AZ_gov_2010,AZ_gov,AZ_2010,Arizona,AZ,2010,0,Terry Goddard,nBarry Hess  L,1,0,0,0,0
29,AZ_gov_2014,AZ_gov,AZ_2014,Arizona,AZ,2014,1,Doug Ducey  R  Fred DuVal  D   John Mealer  Americans Elect   Barry Hess  L  ,Unopposed,1,0,1,0,0
30,AR_gov_1976,AR_gov,AR_1976,Arkansas,AR,1976,1,Leon Griffith,Unopposed,0,1,1,0,0
31,AR_gov_1978,AR_gov,AR_1978,Arkansas,AR,1978,0,Bill Clinton,Lynn Lowe,0,1,0,0,0
32,AR_gov_1980,AR_gov,AR_1980,Arkansas,AR,1980,1,Frank D  White,Unopposed,0,1,1,0,0
33,AR_gov_1982,AR_gov,AR_1982,Arkansas,AR,1982,0,Bill Clinton,Unopposed,1,0,1,0,0
34,AR_gov_1984,AR_gov,AR_1984,Arkansas,AR,1984,1,Elwood A  Woody  Freeman,Unopposed,0,1,1,0,0
35,AR_gov_1986,AR_gov,AR_1986,Arkansas,AR,1986,1,Frank D  White,Unopposed,0,1,1,0,0
36,AR_gov_1990,AR_gov,AR_1990,Arkansas,AR,1990,1,Sheffield Nelson,Unopposed,0,1,1,0,0
37,AR_gov_1994,AR_gov,AR_1994,Arkansas,AR,1994,1,Sheffield Nelson,Unopposed,0,1,1,0,0
38,AR_gov_1998,AR_gov,AR_1998,Arkansas,AR,1998,0,Bill Bristow,Keith Carle,1,0,0,0,0
39,AR_gov_2002,AR_gov,AR_2002,Arkansas,AR,2002,0,Jimmie Lou Fisher,Unopposed,1,0,1,0,0
40,AR_gov_2006,AR_gov,AR_2006,Arkansas,AR,2006,0,Mike Beebe,Asa Hutchinson,1,0,0,0,0
41,AR_gov_2010,AR_gov,AR_2010,Arkansas,AR,2010,1,Jim Keet,n,0,1,0,0,0
42,AR_gov_2014,AR_gov,AR_2014,Arkansas,AR,2014,1,Asa Hutchinson  R Mike Ross  D   Josh Drake  Green    Frank Gilbert  L  ,Unopposed,0,1,1,0,0
43,CA_gov_1978,CA_gov,CA_1978,California,CA,1978,1,Evelle J  Younger,Ed Clark,0,1,0,0,0
44,CA_gov_1982,CA_gov,CA_1982,California,CA,1982,1,George Deukmejian,Tom Bradley,0,1,0,0,0
45,CA_gov_1986,CA_gov,CA_1986,California,CA,1986,0,Tom Bradley,Maria Elizabeth Muñoz,1,0,0,0,0
46,CA_gov_1990,CA_gov,CA_1990,California,CA,1990,1,Pete Wilson,Dianne Feinstein,1,0,0,0,0
47,CA_gov_1994,CA_gov,CA_1994,California,CA,1994,0,Kathleen Brown,Richard Rider,1,0,0,0,0
48,CA_gov_1998,CA_gov,CA_1998,California,CA,1998,0,Gray Davis,Dan Lungren,1,0,0,0,0
49,CA_gov_2002,CA_gov,CA_2002,California,CA,2002,1,Bill Simon,Peter Camejo,0,1,0,0,0
50,CA_gov_2003,CA_gov,CA_2003,California,CA,2003,1,Arnold Schwarzenegger,Cruz Bustamante,0,1,0,0,0
51,CA_gov_2006,CA_gov,CA_2006,California,CA,2006,1,Arnold Schwarzenegger,Phil Angelides,1,0,0,1,0
52,CA_gov_2010,CA_gov,CA_2010,California,CA,2010,0,Jerry Brown,nMeg Whitman  R,1,0,0,0,0
53,CA_gov_2014,CA_gov,CA_2014,California,CA,2014,0,Jerry Brown  D  Neel Kashkari  R  ,Unopposed,0,1,1,0,1
54,CO_gov_1978,CO_gov,CO_1978,Colorado,CO,1978,1,Ted L  Strickland,Roy Peister,0,1,0,0,0
55,CO_gov_1982,CO_gov,CO_1982,Colorado,CO,1982,1,John D  Fuhr,Paul K  Grant,0,1,0,0,0
56,CO_gov_1986,CO_gov,CO_1986,Colorado,CO,1986,0,Roy Romer,Ted Strickland,0,1,0,0,0
57,CO_gov_1990,CO_gov,CO_1990,Colorado,CO,1990,1,John Andrews,David Aitken,0,1,0,0,0
58,CO_gov_1994,CO_gov,CO_1994,Colorado,CO,1994,1,Bruce Benson,Kevin Swanson,0,1,0,0,0
59,CO_gov_1998,CO_gov,CO_1998,Colorado,CO,1998,1,Bill Owens,Gail Schoettler,0,1,0,0,0
60,CO_gov_2002,CO_gov,CO_2002,Colorado,CO,2002,0,Rollie Heath,Ronald Forthofer,1,0,0,0,0
61,CO_gov_2006,CO_gov,CO_2006,Colorado,CO,2006,0,Bill Ritter,Bob Beauprez,1,0,0,0,0
62,CO_gov_2010,CO_gov,CO_2010,Colorado,CO,2010,0,John Hickenlooper,nTom Tancredo  Am C,0,1,0,0,0
63,CO_gov_2014,CO_gov,CO_2014,Colorado,CO,2014,0,John Hickenlooper  D    Bob Beauprez  R    Matthew Hess  L    Mike Dunafon  I   Paul Fiorino  I   Jim Rundberg  I   Harry Hempy  Green,Unopposed,0,1,1,0,1
64,CT_gov_1978,CT_gov,CT_1978,Connecticut,CT,1978,1,Ronald A  Sarasin,Unopposed,0,1,1,0,0
65,CT_gov_1982,CT_gov,CT_1982,Connecticut,CT,1982,1,Lewis B  Rome,Unopposed,0,1,1,0,0
66,CT_gov_1986,CT_gov,CT_1986,Connecticut,CT,1986,1,Julie Belaga,Unopposed,0,1,1,0,0
67,CT_gov_1990,CT_gov,CT_1990,Connecticut,CT,1990,0,Lowell Weicker  A,John G  Rowland,0,1,0,0,0
68,CT_gov_1994,CT_gov,CT_1994,Connecticut,CT,1994,1,John Rowland,Bill Curry,0,0,0,0,0
69,CT_gov_1998,CT_gov,CT_1998,Connecticut,CT,1998,0,Barbara Kennelly,Joseph Zdoneczyk ,1,0,0,0,0
70,CT_gov_2002,CT_gov,CT_2002,Connecticut,CT,2002,0,Bill Curry,Unopposed,1,0,1,0,0
71,CT_gov_2006,CT_gov,CT_2006,Connecticut,CT,2006,1,Jodi Rell,John DeStefano,1,0,0,1,0
72,CT_gov_2010,CT_gov,CT_2010,Connecticut,CT,2010,0,Dan Malloy,nTom Foley  R,1,0,0,0,0
73,CT_gov_2014,CT_gov,CT_2014,Connecticut,CT,2014,0,Dan Malloy  D  Tom Foley  R    Joe Visconti  I   Lee Whitnum  I  ,Unopposed,0,1,1,0,1
74,DE_gov_1976,DE_gov,DE_1976,Delaware,DE,1976,1,Pierre S  du Pont IV,George Cripps,0,1,0,0,0
75,DE_gov_1980,DE_gov,DE_1980,Delaware,DE,1980,0,William J  Gordy,Lawrence Levy,1,0,0,0,0
76,DE_gov_1984,DE_gov,DE_1984,Delaware,DE,1984,1,Michael N  Castle,William J  Quillen,1,0,0,0,0
77,DE_gov_1988,DE_gov,DE_1988,Delaware,DE,1988,0,Jacob Kreshtool,Unopposed,1,0,1,0,0
78,DE_gov_1992,DE_gov,DE_1992,Delaware,DE,1992,0,Tom Carper,Gary Scott,1,0,0,0,0
79,DE_gov_1996,DE_gov,DE_1996,Delaware,DE,1996,1,Janet Rzewnicki,Unopposed,0,1,1,0,0
80,DE_gov_2000,DE_gov,DE_2000,Delaware,DE,2000,0,Ruth Ann Minner,John Burris,0,1,0,0,0
81,DE_gov_2004,DE_gov,DE_2004,Delaware,DE,2004,1,Bill Lee,Frank Infante,0,1,0,0,0
82,DE_gov_2008,DE_gov,DE_2008,Delaware,DE,2008,0,Jack Markell,Bill Lee,0,1,0,0,0
83,DE_gov_2012,DE_gov,DE_2012,Delaware,DE,2012,1,Jeff Cragg,Mark Perri,0,1,0,0,0
84,DE_gov_2016,DE_gov,DE_2016,Delaware,DE,2016,0,John Carney  Democratic   Colin Bonini  Republican   Sean Goward  Libertarian   Andrew Groff  Green,Unopposed,0,1,1,0,0
85,FL_gov_1978,FL_gov,FL_1978,Florida,FL,1978,0,Bob Graham,Jack Eckerd,0,1,0,0,0
86,FL_gov_1982,FL_gov,FL_1982,Florida,FL,1982,1,Louis A  Bafalis,Unopposed,0,1,1,0,0
87,FL_gov_1986,FL_gov,FL_1986,Florida,FL,1986,1,Bob Martinez,Steve Pajcic,0,1,0,0,0
88,FL_gov_1990,FL_gov,FL_1990,Florida,FL,1990,0,Lawton Chiles,Rose  Jackie  Floyd  Independent ,1,0,0,0,0
89,FL_gov_1994,FL_gov,FL_1994,Florida,FL,1994,1,Jeb Bush,Unopposed,0,1,1,0,0
90,FL_gov_1998,FL_gov,FL_1998,Florida,FL,1998,1,Jeb Bush,Buddy MacKay,0,1,0,0,0
91,FL_gov_2002,FL_gov,FL_2002,Florida,FL,2002,0,Bill McBride,Unopposed,1,0,1,0,0
92,FL_gov_2006,FL_gov,FL_2006,Florida,FL,2006,1,Charlie Crist,Jim Davis,1,0,0,0,0
93,FL_gov_2010,FL_gov,FL_2010,Florida,FL,2010,1,Rick Scott,nAlex Sink  D,0,0,0,0,0
94,FL_gov_2014,FL_gov,FL_2014,Florida,FL,2014,1,Rick Scott  R  Charlie Crist  D    Adrian Wyllie  L     Joe Allen  No Party Affiliation Glenn Burkett  No Party Affiliation  Farid Khavari  No Party Affiliation  ,Unopposed,1,0,1,1,0
95,GA_gov_1978,GA_gov,GA_1978,Georgia,GA,1978,1,Rodney M  Cook,Unopposed,0,1,1,0,0
96,GA_gov_1982,GA_gov,GA_1982,Georgia,GA,1982,0,Joe Frank Harris,Robert H  Bell,0,1,0,0,0
97,GA_gov_1986,GA_gov,GA_1986,Georgia,GA,1986,1,Guy Davis,Unopposed,0,1,1,0,0
98,GA_gov_1990,GA_gov,GA_1990,Georgia,GA,1990,0,Zell Miller,Johnny Isakson,0,1,0,0,0
99,GA_gov_1994,GA_gov,GA_1994,Georgia,GA,1994,1,Guy Millner,Unopposed,0,1,1,0,0
100,GA_gov_1998,GA_gov,GA_1998,Georgia,GA,1998,0,Roy Barnes,Guy Millner,0,1,0,0,0
101,GA_gov_2002,GA_gov,GA_2002,Georgia,GA,2002,1,Sonny Perdue,Garrett Hayes,0,1,0,0,0
102,GA_gov_2006,GA_gov,GA_2006,Georgia,GA,2006,1,Sonny Perdue,Mark Taylor,1,0,0,1,0
103,GA_gov_2010,GA_gov,GA_2010,Georgia,GA,2010,1,Nathan Deal,nRoy Barnes  D,1,0,0,0,0
104,GA_gov_2014,GA_gov,GA_2014,Georgia,GA,2014,1,Nathan Deal  R  Jason Carter  D    Andrew Hunt  L  ,Unopposed,1,0,1,1,0
105,HI_gov_1978,HI_gov,HI_1978,Hawaii,HI,1978,1,John R  Leopold,Alema Leota ,0,1,0,0,0
106,HI_gov_1982,HI_gov,HI_1982,Hawaii,HI,1982,0,Frank Fasi ,D  G  Anderson,0,1,0,0,0
107,HI_gov_1986,HI_gov,HI_1986,Hawaii,HI,1986,0,John D  Waihee III,D  G  Anderson,0,1,0,0,0
108,HI_gov_1990,HI_gov,HI_1990,Hawaii,HI,1990,1,Fred Hemmings,Triaka Don Smith,0,1,0,0,0
109,HI_gov_1994,HI_gov,HI_1994,Hawaii,HI,1994,0,Ben Cayetano,Frank Fasi  Best Party,0,1,0,0,0
110,HI_gov_1998,HI_gov,HI_1998,Hawaii,HI,1998,1,Linda Lingle,George Peabody,0,1,0,0,0
111,HI_gov_2002,HI_gov,HI_2002,Hawaii,HI,2002,1,Linda Lingle,Mazie Hirono,0,1,0,0,0
112,HI_gov_2006,HI_gov,HI_2006,Hawaii,HI,2006,1,Linda Lingle,Randy Iwase,1,0,0,1,0
113,HI_gov_2010,HI_gov,HI_2010,Hawaii,HI,2010,0,Neil Abercrombie,nDuke Aiona  R,1,0,0,0,0
114,HI_gov_2014,HI_gov,HI_2014,Hawaii,HI,2014,0,David Ige  D   Duke Aiona  R   Mufi Hannemann  Hawaii Independent  Jeff Davis  L  ,Unopposed,0,1,1,0,0
115,ID_gov_1978,ID_gov,ID_1978,Idaho,ID,1978,1,Allan Larsen,Wayne Loveless,0,1,0,0,0
116,ID_gov_1982,ID_gov,ID_1982,Idaho,ID,1982,1,Phil Batt,Unopposed,0,1,1,0,0
117,ID_gov_1986,ID_gov,ID_1986,Idaho,ID,1986,0,Cecil D  Andrus,David H  Leroy,0,1,0,0,0
118,ID_gov_1990,ID_gov,ID_1990,Idaho,ID,1990,1,Roger Fairchild,Unopposed,0,1,1,0,0
119,ID_gov_1994,ID_gov,ID_1994,Idaho,ID,1994,1,Phil Batt,Larry EchoHawk,0,1,0,0,0
120,ID_gov_1998,ID_gov,ID_1998,Idaho,ID,1998,1,Dirk Kempthorne,Robert Huntley,1,0,0,0,0
121,ID_gov_2002,ID_gov,ID_2002,Idaho,ID,2002,0,Jerry Brady,Daniel Adams,1,0,0,0,0
122,ID_gov_2006,ID_gov,ID_2006,Idaho,ID,2006,1,Butch Otter,Jerry Brady,1,0,0,0,0
123,ID_gov_2010,ID_gov,ID_2010,Idaho,ID,2010,0,Keith Allred,nJana Kemp  I,1,0,0,0,0
124,ID_gov_2014,ID_gov,ID_2014,Idaho,ID,2014,1,Butch Otter  R A J  Balukoff  D    Steve Pankey  Constitution    John Bujak  L    Jill Humble  I    Pro Life  Marvin Richardson   I    ,Unopposed,1,0,1,1,0
125,IL_gov_1976,IL_gov,IL_1976,Illinois,IL,1976,1,James R  Thompson,Michael Howlett,0,1,0,0,0
126,IL_gov_1978,IL_gov,IL_1978,Illinois,IL,1978,0,Michael Bakalis,Georgia Shields,1,0,0,0,0
127,IL_gov_1982,IL_gov,IL_1982,Illinois,IL,1982,0,Adlai Stevenson III,Bea Armstrong,1,0,0,0,0
128,IL_gov_1986,IL_gov,IL_1986,Illinois,IL,1986,0,Adlai Stevenson III,No gubernatorial candidate   ,1,0,0,0,0
129,IL_gov_1990,IL_gov,IL_1990,Illinois,IL,1990,1,Jim Edgar,Neil Hartigan,1,0,0,0,0
130,IL_gov_1994,IL_gov,IL_1994,Illinois,IL,1994,0,Dawn Netsch,David Kelley,1,0,0,0,0
131,IL_gov_1998,IL_gov,IL_1998,Illinois,IL,1998,1,George Ryan,Glenn Poshard,1,0,0,0,0
132,IL_gov_2002,IL_gov,IL_2002,Illinois,IL,2002,0,Rod Blagojevich,Jim Ryan,1,0,0,0,0
133,IL_gov_2006,IL_gov,IL_2006,Illinois,IL,2006,0,Rod Blagojevich,Judy Baar Topinka,0,1,0,0,1
134,IL_gov_2010,IL_gov,IL_2010,Illinois,IL,2010,1,Bill Brady,n,0,1,0,0,0
135,IL_gov_2014,IL_gov,IL_2014,Illinois,IL,2014,1,Bruce Rauner  R    Pat Quinn  D    Chad Grimm  L  ,Unopposed,0,1,1,0,1
136,IN_gov_1976,IN_gov,IN_1976,Indiana,IN,1976,0,Larry Conrad,Daniel P  Talbot,1,0,0,0,0
137,IN_gov_1980,IN_gov,IN_1980,Indiana,IN,1980,1,Robert D  Orr,John A  Hillenbrand,1,0,0,0,0
138,IN_gov_1984,IN_gov,IN_1984,Indiana,IN,1984,0,Wayne Townsend,Rockland Snyder,1,0,0,0,0
139,IN_gov_1988,IN_gov,IN_1988,Indiana,IN,1988,0,Evan Bayh,John Mutz,1,0,0,0,0
140,IN_gov_1992,IN_gov,IN_1992,Indiana,IN,1992,1,Linley Pearson,Mary Barton ,0,1,0,0,0
141,IN_gov_1996,IN_gov,IN_1996,Indiana,IN,1996,0,Frank O Bannon,Steve Goldsmith,0,1,0,0,0
142,IN_gov_2000,IN_gov,IN_2000,Indiana,IN,2000,1,David McIntosh,Andrew Horning,0,1,0,0,0
143,IN_gov_2004,IN_gov,IN_2004,Indiana,IN,2004,1,Mitch Daniels,Kenn Gividen,0,1,0,0,0
144,IN_gov_2008,IN_gov,IN_2008,Indiana,IN,2008,0,Jill Long Thompson,Andy Horning,1,0,0,0,0
145,IN_gov_2012,IN_gov,IN_2012,Indiana,IN,2012,1,Mike Pence,John Gregg,1,0,0,0,0
146,IN_gov_2016,IN_gov,IN_2016,Indiana,IN,2016,1,Eric Holcomb  Republican   John Gregg  Democratic    Rex Bell  Libertarian  ,Unopposed,1,0,1,0,0
147,IA_gov_1978,IA_gov,IA_1978,Iowa,IA,1978,0,Jerome D  Fitzgerald,John Ball,1,0,0,0,0
148,IA_gov_1982,IA_gov,IA_1982,Iowa,IA,1982,1,Terry E  Branstad,Roxanne Conlin,1,0,0,0,0
149,IA_gov_1986,IA_gov,IA_1986,Iowa,IA,1986,0,Lowell Junkins,Unopposed,1,0,1,0,0
150,IA_gov_1990,IA_gov,IA_1990,Iowa,IA,1990,0,Donald Avenson,F  Nan Bailey ,1,0,0,0,0
151,IA_gov_1994,IA_gov,IA_1994,Iowa,IA,1994,0,Bonnie Campbell,Richard Hughes  Nom ,1,0,0,0,0
152,IA_gov_1998,IA_gov,IA_1998,Iowa,IA,1998,0,Tom Vilsack,Jim Lightfoot,1,0,0,0,0
153,IA_gov_2002,IA_gov,IA_2002,Iowa,IA,2002,1,Doug Gross,Jay Robinson,0,1,0,0,0
154,IA_gov_2006,IA_gov,IA_2006,Iowa,IA,2006,0,Chet Culver,Jim Nussle,0,1,0,0,0
155,IA_gov_2010,IA_gov,IA_2010,Iowa,IA,2010,1,Terry Branstad,nEric Cooper  L,0,1,0,0,0
156,IA_gov_2014,IA_gov,IA_2014,Iowa,IA,2014,1,Terry Branstad  R  Jack Hatch  D    Lee Hieb  L   David Rosenfeld  Socialist Workers,Unopposed,1,0,1,1,0
157,KS_gov_1978,KS_gov,KS_1978,Kansas,KS,1978,0,John W  Carlin,Frank W  Shelton Jr ,1,0,0,0,0
158,KS_gov_1982,KS_gov,KS_1982,Kansas,KS,1982,1,Sam Hardage,James H  Ward,0,1,0,0,0
159,KS_gov_1986,KS_gov,KS_1986,Kansas,KS,1986,1,Mike Hayden,Thomas R  Docking,0,1,0,0,0
160,KS_gov_1990,KS_gov,KS_1990,Kansas,KS,1990,0,Joan Finney,Christina Campbell Cline,1,0,0,0,0
161,KS_gov_1994,KS_gov,KS_1994,Kansas,KS,1994,1,Bill Graves,Jim Slattery,0,1,0,0,0
162,KS_gov_1998,KS_gov,KS_1998,Kansas,KS,1998,0,Tom Sawyer,Kirt Poovey,1,0,0,0,0
163,KS_gov_2002,KS_gov,KS_2002,Kansas,KS,2002,0,Kathleen Sebelius,Tim Shallenburger,1,0,0,0,0
164,KS_gov_2006,KS_gov,KS_2006,Kansas,KS,2006,0,Kathleen Sebelius,Jim Barnett,0,1,0,0,1
165,KS_gov_2010,KS_gov,KS_2010,Kansas,KS,2010,1,Sam Brownback,nTom Holland  D,0,1,0,0,0
166,KS_gov_2014,KS_gov,KS_2014,Kansas,KS,2014,1,Sam Brownback  R  Paul Davis  D    Keen Umbehr  L  ,Unopposed,1,0,1,1,0
167,KY_gov_1979,KY_gov,KY_1979,Kentucky,KY,1979,0,John Y  Brown Jr ,Louie B  Nunn,0,1,0,0,0
168,KY_gov_1983,KY_gov,KY_1983,Kentucky,KY,1983,0,Martha Layne Collins,Jim Bunning,0,1,0,0,0
169,KY_gov_1987,KY_gov,KY_1987,Kentucky,KY,1987,0,Wallace G  Wilkinson,John Harper,0,1,0,0,0
170,KY_gov_1991,KY_gov,KY_1991,Kentucky,KY,1991,0,Brereton Jones,Larry Hopkins,0,1,0,0,0
171,KY_gov_1995,KY_gov,KY_1995,Kentucky,KY,1995,0,Paul Patton,Larry Forgy,0,1,0,0,0
172,KY_gov_1999,KY_gov,KY_1999,Kentucky,KY,1999,1,Peppy Martin,Gatewood Galbraith,0,1,0,0,0
173,KY_gov_2003,KY_gov,KY_2003,Kentucky,KY,2003,1,Ernie Fletcher,Ben Chandler,0,1,0,0,0
174,KY_gov_2007,KY_gov,KY_2007,Kentucky,KY,2007,0,Steve Beshear,Unopposed,1,0,1,0,0
175,KY_gov_2011,KY_gov,KY_2011,Kentucky,KY,2011,0,Steve Beshear,David Williams  R,0,1,0,0,1
176,KY_gov_2015,KY_gov,KY_2015,Kentucky,KY,2015,1,Matt Bevin,Jack Conway,0,1,0,0,0
177,LA_gov_1979,LA_gov,LA_1979,Louisiana,LA,1979,1,Dave Treen,in Runoff  Louis Lambert  Democratic,0,1,0,0,0
178,LA_gov_1983,LA_gov,LA_1983,Louisiana,LA,1983,0,Edwin Edwards,Robert M  Ross,1,0,0,0,0
179,LA_gov_1987,LA_gov,LA_1987,Louisiana,LA,1987,0,Buddy Roemer,Bob Livingston,0,1,0,0,0
180,LA_gov_1991,LA_gov,LA_1991,Louisiana,LA,1991,0,Edwin Edwards,in runoff David Duke  Republican,1,0,0,1,0
181,LA_gov_1995,LA_gov,LA_1995,Louisiana,LA,1995,1,Mike Foster,Cleo Fields,0,1,0,0,0
182,LA_gov_1999,LA_gov,LA_1999,Louisiana,LA,1999,0,Bill Jefferson,Tom Greene,1,0,0,0,0
183,LA_gov_2003,LA_gov,LA_2003,Louisiana,LA,2003,1,Bobby Jindal,in runoff Kathleen Blanco  D,1,0,0,0,0
184,LA_gov_2007,LA_gov,LA_2007,Louisiana,LA,2007,1,Bobby Jindal,Walter Boasso,0,1,0,0,0
185,LA_gov_2011,LA_gov,LA_2011,Louisiana,LA,2011,1,Bobby Jindal,Tara Hollis  D,1,0,0,1,0
186,LA_gov_2015,LA_gov,LA_2015,Louisiana,LA,2015,0,John Bel Edwards,David Vitter,1,0,0,0,0
187,ME_gov_1978,ME_gov,ME_1978,Maine,ME,1978,0,Joseph E  Brennan,Linwood E,0,0,0,0,1
188,ME_gov_1982,ME_gov,ME_1982,Maine,ME,1982,1,Charles R  Cragin,Venn Warren,0,1,0,0,0
189,ME_gov_1986,ME_gov,ME_1986,Maine,ME,1986,1,John R  McKernan Jr ,James E  Tierney,0,1,0,0,0
190,ME_gov_1990,ME_gov,ME_1990,Maine,ME,1990,0,Joseph E  Brennan,Andrew Adam,1,0,0,0,0
191,ME_gov_1994,ME_gov,ME_1994,Maine,ME,1994,0,Angus King,Joseph Brennan,1,0,0,0,0
192,ME_gov_1998,ME_gov,ME_1998,Maine,ME,1998,1,Jim Longley,Tom Connolly,0,0,0,0,0
193,ME_gov_2002,ME_gov,ME_2002,Maine,ME,2002,0,John Baldacci,Peter Cianchette,0,0,0,0,0
194,ME_gov_2006,ME_gov,ME_2006,Maine,ME,2006,0,John Baldacci,Chandler Woodcock,0,1,0,0,1
195,ME_gov_2010,ME_gov,ME_2010,Maine,ME,2010,1,Paul LePage,nEliot Cutler  I,0,1,0,0,0
196,ME_gov_2014,ME_gov,ME_2014,Maine,ME,2014,1,Paul LePage  R  Mike Michaud  D    Eliot Cutler  Unenrolled  ,Unopposed,1,0,1,1,0
