year,state,abbrev,col,combo1,combo2,total_population,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white,race_black,race_natamer,race_asian,race_hispanic
1970,Alabama,AL,1,Alabama_1970,AL_1970,3444165,1661941,1782224,1233520,619880,1115478,475287,2533831,903467,2443,4424,38848
1971,Alabama,AL,1,Alabama_1971,AL_1971,3489137,1682900,1806237,1226393,640938,1133137,488670,2567777,912749,3129,5048,38293
1972,Alabama,AL,1,Alabama_1972,AL_1972,3534110,1703860,1830250,1219266,661997,1150795,502052,2601723,922030,3815,5671,37738
1973,Alabama,AL,1,Alabama_1973,AL_1973,3579082,1724819,1854263,1212138,683055,1168454,515435,2635668,931312,4501,6295,37183
1974,Alabama,AL,1,Alabama_1974,AL_1974,3624054,1745778,1878276,1205011,704113,1186112,528818,2669614,940593,5187,6918,36628
1975,Alabama,AL,1,Alabama_1975,AL_1975,3669027,1766738,1902289,1197884,725172,1203771,542201,2703560,949875,5874,7542,36074
1976,Alabama,AL,1,Alabama_1976,AL_1976,3713999,1787697,1926302,1190757,746230,1221429,555583,2737506,959157,6560,8166,35519
1977,Alabama,AL,1,Alabama_1977,AL_1977,3758971,1808656,1950315,1183630,767288,1239088,568966,2771452,968438,7246,8789,34964
1978,Alabama,AL,1,Alabama_1978,AL_1978,3803943,1829615,1974328,1176502,788346,1256746,582349,2805397,977720,7932,9413,34409
1979,Alabama,AL,1,Alabama_1979,AL_1979,3848916,1850575,1998341,1169375,809405,1274405,595731,2839343,987001,8618,10036,33854
1980,Alabama,AL,1,Alabama_1980,AL_1980,3893888,1871534,2022354,1162248,830463,1292063,609114,2873289,996283,9304,10660,33299
1981,Alabama,AL,1,Alabama_1981,AL_1981,3908558,1877997,2030561,1151902,823706,1314417,618533,2883540,998725,10024,12352,32432
1982,Alabama,AL,1,Alabama_1982,AL_1982,3923228,1884460,2038768,1141556,816950,1336771,627951,2893791,1001167,10744,14044,31565
1983,Alabama,AL,1,Alabama_1983,AL_1983,3937897,1890922,2046975,1131210,810193,1359125,637370,2904041,1003610,11465,15736,30698
1984,Alabama,AL,1,Alabama_1984,AL_1984,3952567,1897385,2055182,1120864,803437,1381479,646788,2914292,1006052,12185,17428,29831
1985,Alabama,AL,1,Alabama_1985,AL_1985,3967238,1903848,2063390,1110518,796680,1403833,656207,2924543,1008494,12905,19120,28964
1986,Alabama,AL,1,Alabama_1986,AL_1986,3981908,1910311,2071597,1100172,789923,1426187,665625,2934794,1010936,13625,20811,28097
1987,Alabama,AL,1,Alabama_1987,AL_1987,3996578,1916774,2079804,1089826,783167,1448541,675044,2945045,1013378,14345,22503,27230
1988,Alabama,AL,1,Alabama_1988,AL_1988,4011247,1923236,2088011,1079480,776410,1470895,684462,2955295,1015821,15066,24195,26363
1989,Alabama,AL,1,Alabama_1989,AL_1989,4025917,1929699,2096218,1069134,769654,1493249,693881,2965546,1018263,15786,25887,25496
1990,Alabama,AL,1,Alabama_1990,AL_1990,4040587,1936162,2104425,1058788,762897,1515603,703299,2975797,1020705,16506,27579,24629
1991,Alabama,AL,1,Alabama_1991,AL_1991,4081238,1957196,2124042,1065251,760688,1545342,709957,2994498,1034228,17098,30996,29749
1992,Alabama,AL,1,Alabama_1992,AL_1992,4121889,1978230,2143659,1071715,758479,1575080,716615,3013199,1047750,17691,34414,34869
1993,Alabama,AL,1,Alabama_1993,AL_1993,4162541,1999265,2163276,1078178,756270,1604819,723273,3031900,1061273,18283,37831,39989
1994,Alabama,AL,1,Alabama_1994,AL_1994,4203192,2020299,2182893,1084642,754061,1634558,729931,3050601,1074795,18876,41249,45109
1995,Alabama,AL,1,Alabama_1995,AL_1995,4243844,2041333,2202511,1091105,751853,1664297,736590,3069303,1088318,19468,44666,50230
1996,Alabama,AL,1,Alabama_1996,AL_1996,4284495,2062367,2222128,1097568,749644,1694035,743248,3088004,1101840,20060,48083,55350
1997,Alabama,AL,1,Alabama_1997,AL_1997,4325146,2083401,2241745,1104032,747435,1723774,749906,3106705,1115363,20653,51501,60470
1998,Alabama,AL,1,Alabama_1998,AL_1998,4365798,2104436,2261362,1110495,745226,1753513,756564,3125406,1128885,21245,54918,65590
1999,Alabama,AL,1,Alabama_1999,AL_1999,4406449,2125470,2280979,1116959,743017,1783251,763222,3144107,1142408,21838,58336,70710
2000,Alabama,AL,1,Alabama_2000,AL_2000,4447100,2146504,2300596,1123422,740808,1812990,769880,3162808,1155930,22430,61753,75830
2001,Alabama,AL,1,Alabama_2001,AL_2001,4480363,2163872,2316491,1124326,745748,1873238,786284,3174067,1165468,23009,70934,86807
2002,Alabama,AL,1,Alabama_2002,AL_2002,4513627,2181241,2332386,1125229,750688,1933486,802688,3185325,1175006,23588,80115,97784
2003,Alabama,AL,1,Alabama_2003,AL_2003,4546891,2198609,2348282,1126133,755628,1993734,819092,3196584,1184544,24166,89296,108762
2004,Alabama,AL,1,Alabama_2004,AL_2004,4580155,2215978,2364177,1127037,760568,2053982,835496,3207842,1194082,24745,98477,119739
2005,Alabama,AL,1,Alabama_2005,AL_2005,4613418,2233346,2380072,1127941,765509,2114230,851900,3219101,1203621,25324,107658,130716
2006,Alabama,AL,1,Alabama_2006,AL_2006,4646681,2250714,2395967,1128844,770449,2174478,868303,3230360,1213159,25903,116838,141693
2007,Alabama,AL,1,Alabama_2007,AL_2007,4679945,2268083,2411862,1129748,775389,2234726,884707,3241618,1222697,26482,126019,152670
2008,Alabama,AL,1,Alabama_2008,AL_2008,4713209,2285451,2427758,1130652,780329,2294974,901111,3252877,1232235,27060,135200,163648
2009,Alabama,AL,1,Alabama_2009,AL_2009,4746473,2302820,2443653,1131555,785269,2355222,917515,3264135,1241773,27639,144381,174625
2010,Alabama,AL,1,Alabama_2010,AL_2010,4779736,2320188,2459548,1132459,790209,2415470,933919,3275394,1251311,28218,153562,185602
2011,Alabama,AL,1,Alabama_2011,AL_2011,4812999,2337556,2475443,1133363,795149,2475718,950323,3286653,1260849,28797,162743,196579
2012,Alabama,AL,1,Alabama_2012,AL_2012,4846263,2354925,2491338,1134266,800089,2535966,966727,3297911,1270387,29376,171924,207556
2013,Alabama,AL,1,Alabama_2013,AL_2013,4879527,2372293,2507234,1135170,805029,2596214,983131,3309170,1279925,29954,181105,218534
2014,Alabama,AL,1,Alabama_2014,AL_2014,4912791,2389662,2523129,1136074,809969,2656462,999535,3320428,1289463,30533,190286,229511
2015,Alabama,AL,1,Alabama_2015,AL_2015,4946054,2407030,2539024,1136978,814910,2716710,1015939,3331687,1299002,31112,199467,240488
2016,Alabama,AL,1,Alabama_2016,AL_2016,4979317,2424398,2554919,1137881,819850,2776958,1032342,3342946,1308540,31691,208647,251465
2017,Alabama,AL,1,Alabama_2017,AL_2017,5012581,2441767,2570814,1138785,824790,2837206,1048746,3354204,1318078,32270,217828,262442
2018,Alabama,AL,1,Alabama_2018,AL_2018,5045845,2459135,2586710,1139689,829730,2897454,1065150,3365463,1327616,32848,227009,273420
1970,Alaska,AK,2,Alaska_1970,AK_1970,300382,163258,137124,119859,72228,96098,12197,236767,8911,16276,38428,4598
1971,Alaska,AK,2,Alaska_1971,AK_1971,310529,168236,142293,120948,75847,100793,12942,244287,9395,21084,35417,5089
1972,Alaska,AK,2,Alaska_1972,AK_1972,320676,173215,147461,122036,79466,105487,13686,251807,9878,25892,32405,5580
1973,Alaska,AK,2,Alaska_1973,AK_1973,330823,178193,152630,123125,83085,110182,14431,259327,10362,30700,29394,6071
1974,Alaska,AK,2,Alaska_1974,AK_1974,340969,183171,157798,124213,86704,114877,15175,266847,10846,35508,26382,6562
1975,Alaska,AK,2,Alaska_1975,AK_1975,351117,188150,162967,125302,90323,119572,15920,274368,11330,40317,23371,7053
1976,Alaska,AK,2,Alaska_1976,AK_1976,361264,193128,168136,126391,93942,124266,16665,281888,11813,45125,20360,7543
1977,Alaska,AK,2,Alaska_1977,AK_1977,371410,198106,173304,127479,97561,128961,17409,289408,12297,49933,17348,8034
1978,Alaska,AK,2,Alaska_1978,AK_1978,381557,203084,178473,128568,101180,133656,18154,296928,12781,54741,14337,8525
1979,Alaska,AK,2,Alaska_1979,AK_1979,391704,208063,183641,129656,104799,138350,18898,304448,13264,59549,11325,9016
1980,Alaska,AK,2,Alaska_1980,AK_1980,401851,213041,188810,130745,108418,143045,19643,311968,13748,64357,8314,9507
1981,Alaska,AK,2,Alaska_1981,AK_1981,416671,220724,195947,134905,108495,152065,21205,322320,14618,66491,10123,10337
1982,Alaska,AK,2,Alaska_1982,AK_1982,431489,228406,203083,139065,108572,161085,22768,332673,15489,68625,11932,11166
