race_id,candidates,inc,inc_party,inc_party,inc_R,inc_results,state,abbrev,rival,year
AL_gov_1978,"['Fob James (Democratic) 72.6', 'H. Guy Hunt (Republican) 25.9', 'Jim Partain (Prohibition) 1.1', 'Richard Dare (Independent) 0.5', '\n']","George Wallace
",D,"Democratic
",0,"Term-limited, Democratic victory
",Alabama,AL,Fob James (Democratic) 72.6,1978
AL_gov_1982,"['George Wallace (Democratic) 57.6', 'Emory Folmar (Republican) 39.1', 'Leo Suiter (Alabama Conservative) 1.6', 'Henry Klingler (Libertarian) 0.7', ""John Jackson (Alabama Nat'l Democrat) 0.4"", 'John Dyer (Prohibition) 0.4', 'Martin J. Boyers (Socialist Workers) 0.2', '\n']","Fob James
",D,"Democratic
",0,"Retired, Democratic victory
",Alabama,AL,George Wallace (Democratic) 57.6,1982
AL_gov_1986,"['H. Guy Hunt (Republican) 56.4', 'Bill Baxley (Democratic) 43.6', '\n']","George Wallace
",D,"Democratic
",0,"Retired, Republican victory
",Alabama,AL,H. Guy Hunt (Republican) 56.4,1986
AL_gov_1990,"['Paul Hubbert (Democratic) 47.9', '\n']","H. Guy Hunt
",R,"Republican
",1,"Re-elected, 52.1%
",Alabama,AL,Paul Hubbert (Democratic) 47.9,1990
AL_gov_1994,"['Fob James (Republican) 50.3', '\n']","Jim Folsom
",D,"Democratic
",0,"Defeated, 49.4%
",Alabama,AL,Fob James (Republican) 50.3,1994
AL_gov_1998,"['Don Siegelman (Democratic) 57.7', '\n']","Fob James
",R,"Republican
",1,"Defeated, 42.1%
",Alabama,AL,Don Siegelman (Democratic) 57.7,1998
AL_gov_2002,"['Bob Riley (Republican) 49.2', 'John Sophocleus (Libertarian) 1.7', '\n']","Don Siegelman
",D,"Democratic
",0,"Defeated, 49.0%
",Alabama,AL,Bob Riley (Republican) 49.2,2002
AL_gov_2006,"['Bob Riley (R) 57.4', 'Lucy Baxley (D) 41.6', '\n']","Bob Riley
",R,"Republican
",1,"Re-elected
",Alabama,AL,Bob Riley (R) 57.4,2006
AL_gov_2010,"['Robert Bentley (R), 57.9', '\nRon Sparks (D), 42.1', '\n\n']","Bob Riley
",R,"Republican
",1,"Term-limited, Republican victory
",Alabama,AL,"Robert Bentley (R), 57.9",2010
AL_gov_2014,"['√ Robert Bentley (R), 63.6', ' Parker Griffith (D)[4], 36.4', '\n']",Robert Bentley,R,Republican,1,Re-elected 63.6%.,Alabama,AL,"√ Robert Bentley (R), 63.6",2014
