race_id,candidates,inc,inc_party,inc_R,state,abbrev,winner,year
NY_sen_1976,"['√ Daniel P. Moynihan (Democratic) 54.2', 'James L. Buckley (Republican) 44.9', '\n']","James L. Buckley",I,0,New_York,NY,√ Daniel P. Moynihan (Democratic) 54.2,1976
MN_sen_1996,"['√ Paul Wellstone (Democratic (DFL)) 50.3', 'Rudy Boschwitz (Republican) 41.3', 'Dean Barkley (Reform) 7', 'Tim Davis (Grass Roots) 0.6', 'Roy Ezra Carlton (Libertarian) 0.2', 'Steve Johnson (Natural Law) 0.2', 'Thomas A. Fiske (Socialist Workers) 0.1', '\n']","Paul Wellstone
",I,0,Minnesota,MN,√ Paul Wellstone (Democratic (DFL)) 50.3,1996
AL_sen_1978,"['√ Howell Heflin (Democratic) 94.0', 'Jerome B. Couch (Prohibition) 6.0', '\n']","John Sparkman
",D,0,Alabama,AL,√ Howell Heflin (Democratic) 94.0,1978
AL_sen_1980,"['√ Jeremiah Denton (Republican) 50.2', 'Jim Folsom Jr. (Democratic) 47.1', '\n']","Donald W. Stewart
",D,0,Alabama,AL,√ Jeremiah Denton (Republican) 50.2,1980
AL_sen_1984,"['√ Howell Heflin (Democratic) 62.7', 'Albert L. Smith Jr. (Republican) 36.4', 'Yana Davis (Libertarian) 0.9', '\n']","Howell Heflin
",D,0,Alabama,AL,√ Howell Heflin (Democratic) 62.7,1984
AL_sen_1984,"['√ Howell Heflin (Democratic) 62.7', 'Albert L. Smith Jr. (Republican) 36.4', 'Yana Davis (Libertarian) 0.9', '\n']","Howell Heflin
",D,0,Alabama,AL,√ Howell Heflin (Democratic) 62.7,1984
AL_sen_1990,"['√ Howell Heflin (Democratic) 60.7', 'William J. Cabaniss (Republican) 39.3', '\n']","Howell Heflin
",D,0,Alabama,AL,√ Howell Heflin (Democratic) 60.7,1990
AL_sen_1992,"['√ Richard Shelby (Democratic) 64.8', 'Richard Sellars (Republican) 33.1', 'Jerome Shockley (Libertarian) 2.0', '\n']","Richard Shelby
",D,0,Alabama,AL,√ Richard Shelby (Democratic) 64.8,1992
AL_sen_1996,"['√ Jeff Sessions (Republican) 52.5', 'Roger Bedford (Democratic) 45.5', 'Mark Thornton (Libertarian) 1.4', 'Charles R. Hebner (Natural Law) 0.6', '\n']","Howell Heflin
",D,0,Alabama,AL,√ Jeff Sessions (Republican) 52.5,1996
AL_sen_1978,"['√ Donald W. Stewart (Democratic) 55.1', 'James D. Martin (Republican) 43.3', 'Michael R. A. Erdey (Libertarian) 0.8', 'A. J. Killingsworth (Prohibition) 0.8', '\n']","Maryon Pittman Allen
",D,0,Alabama,AL,√ Donald W. Stewart (Democratic) 55.1,1978
AK_sen_1980,"['√ Frank Murkowski (Republican) 53.7', 'Clark Gruening (Democratic) 45.9', '\n']","Mike Gravel
",D,0,Alaska,AK,√ Frank Murkowski (Republican) 53.7,1980
AK_sen_2014,"['√ Dan Sullivan (Republican) 48.0', '[27]Mark Begich (Democratic) 45.8', '[28]Mark Fish (Libertarian) 3.7', '[29]Ted Gianoutsos (Independent) 2.0', '[30]\n']","Mark Begich
",D,0,Alaska,AK,√ Dan Sullivan (Republican) 48.0,2014
AZ_sen_1982,"['√ Dennis DeConcini (Democratic) 56.9', 'Pete Dunn (Republican) 40.3', 'Randall Clamons (Libertarian) 2.8', '\n']","Dennis DeConcini
",D,0,Arizona,AZ,√ Dennis DeConcini (Democratic) 56.9,1982
AZ_sen_1982,"['√ Dennis DeConcini (Democratic) 56.9', 'Pete Dunn (Republican) 40.3', 'Randall Clamons (Libertarian) 2.8', '\n']","Dennis DeConcini
",D,0,Arizona,AZ,√ Dennis DeConcini (Democratic) 56.9,1982
