president,pres_party,prez_GOP,month,year,month_year,approve,disapprove,unsure
Ford,R,1,10,1975,10_1975,44,43,12
Ford,R,1,10,1975,10_1975,46,40,13
Ford,R,1,10,1975,10_1975,47,36,16
Ford,R,1,10,1974,10_1974,53,28,17
Ford,R,1,10,1974,10_1974,52,28,19
Carter,D,0,10,1979,10_1979,31,55,12
Carter,D,0,10,1979,10_1979,31,54,13
Carter,D,0,10,1979,10_1979,28,58,12
Carter,D,0,10,1978,10_1978,49,36,14
Carter,D,0,10,1977,10_1977,51,30,18
Carter,D,0,10,1977,10_1977,54,29,16
Carter,D,0,10,1977,10_1977,54,29,15
Reagan,R,1,10,1987,10_1987,50,40,8
Reagan,R,1,10,1987,10_1987,50,40,8
Reagan,R,1,10,1987,10_1987,48,38,12
Reagan,R,1,10,1987,10_1987,47,41,11
Reagan,R,1,10,1987,10_1987,51,38,10
Reagan,R,1,10,1986,10_1986,64,28,7
Reagan,R,1,10,1985,10_1985,62,29,8
Reagan,R,1,10,1984,10_1984,58,32,8
Reagan,R,1,10,1984,10_1984,53,35,10
Reagan,R,1,10,1983,10_1983,45,43,10
Reagan,R,1,10,1982,10_1982,41,47,10
BushSr,R,1,10,1992,10_1992,37,58,4
BushSr,R,1,10,1992,10_1992,34,56,9
BushSr,R,1,10,1992,10_1992,29,59,10
BushSr,R,1,10,1992,10_1992,33,57,8
BushSr,R,1,10,1991,10_1991,62,29,8
BushSr,R,1,10,1991,10_1991,65,26,7
BushSr,R,1,10,1991,10_1991,65,27,6
BushSr,R,1,10,1990,10_1990,54,35,10
BushSr,R,1,10,1990,10_1990,52,36,10
BushSr,R,1,10,1990,10_1990,56,32,10
BushSr,R,1,10,1990,10_1990,56,33,10
BushSr,R,1,10,1990,10_1990,66,22,11
BushSr,R,1,10,1990,10_1990,65,25,9
BushSr,R,1,10,1989,10_1989,59,22,17
BushSr,R,1,10,1989,10_1989,67,20,12
BushSr,R,1,10,1989,10_1989,66,17,15
BushSr,R,1,10,1989,10_1989,66,18,14
Clinton,D,0,10,2000,10_2000,56,38,5
Clinton,D,0,10,2000,10_2000,58,36,4
Clinton,D,0,10,1999,10_1999,59,35,4
Clinton,D,0,10,1999,10_1999,56,38,4
Clinton,D,0,10,1998,10_1998,65,31,2
Clinton,D,0,10,1998,10_1998,65,31,3
Clinton,D,0,10,1998,10_1998,63,33,3
Clinton,D,0,10,1997,10_1997,58,32,9
Clinton,D,0,10,1997,10_1997,55,35,8
Clinton,D,0,10,1996,10_1996,54,36,9
Clinton,D,0,10,1996,10_1996,58,34,8
Clinton,D,0,10,1995,10_1995,49,39,11
