,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running
458,AK_sen_1978,AK_sen,AK_1978,Alaska,AK,1978,1,Ted Stevens,Donald W  Hobbs,1,0,0,1,0
10,AK_sen_1980,AK_sen,AK_1980,Alaska,AK,1980,1,Frank Murkowski,Clark Gruening,0,1,0,0,0
459,AK_sen_1984,AK_sen,AK_1984,Alaska,AK,1984,1,Ted Stevens,John E  Havelock,1,0,0,1,0
463,AK_sen_1986,AK_sen,AK_1986,Alaska,AK,1986,1,Frank Murkowski,Glenn Olds,1,0,0,1,0
464,AK_sen_1990,AK_sen,AK_1990,Alaska,AK,1990,1,Ted Stevens,Michael Beasley,1,0,0,1,0
465,AK_sen_1992,AK_sen,AK_1992,Alaska,AK,1992,1,Frank Murkowski,Tony Smith,1,0,0,1,0
466,AK_sen_1996,AK_sen,AK_1996,Alaska,AK,1996,1,Ted Stevens,Jeff Whittaker,1,0,0,1,0
467,AK_sen_1998,AK_sen,AK_1998,Alaska,AK,1998,1,Frank Murkowski,Joe Sonneman,1,0,0,1,0
468,AK_sen_2002,AK_sen,AK_2002,Alaska,AK,2002,1,Ted Stevens,Frank J  Vondersaar,1,0,0,1,0
471,AK_sen2_2002,AK_sen,AK_2002,Alaska,AK,2002,0,Mark Begich,Ted Stevens,1,0,0,1,0
470,AK_sen_2004,AK_sen,AK_2004,Alaska,AK,2004,1,Lisa Murkowski,Tony Knowles,1,0,0,1,0
472,AK_sen_2010,AK_sen,AK_2010,Alaska,AK,2010,1,Lisa Murkowski,Joe Miller,1,0,0,1,0
11,AK_sen_2014,AK_sen,AK_2014,Alaska,AK,2014,1,Dan Sullivan,Mark Begich,0,1,0,0,1
473,AK_sen_2016,AK_sen,AK_2016,Alaska,AK,2016,1,Lisa Murkowski,Joe Miller,1,0,0,1,0
2,AL_sen_1978,AL_sen,AL_1978,Alabama,AL,1978,0,Howell Heflin,Jerome B  Couch,0,1,0,0,0
9,AL_sen2_1978,AL_sen,AL_1978,Alabama,AL,1978,0,Donald W  Stewart,James D  Martin,0,1,0,0,0
3,AL_sen_1980,AL_sen,AL_1980,Alabama,AL,1980,1,Jeremiah Denton,Jim Folsom Jr ,0,1,0,0,0
4,AL_sen_1984,AL_sen,AL_1984,Alabama,AL,1984,0,Howell Heflin,Albert L  Smith Jr ,0,1,0,0,1
449,AL_sen_1986,AL_sen,AL_1986,Alabama,AL,1986,0,Richard Shelby,Jeremiah Denton,1,0,0,1,0
6,AL_sen_1990,AL_sen,AL_1990,Alabama,AL,1990,0,Howell Heflin,William J  Cabaniss,0,1,0,0,1
7,AL_sen_1992,AL_sen,AL_1992,Alabama,AL,1992,0,Richard Shelby,Richard Sellars,0,1,0,0,1
8,AL_sen_1996,AL_sen,AL_1996,Alabama,AL,1996,1,Jeff Sessions,Roger Bedford,0,1,0,0,0
450,AL_sen_1998,AL_sen,AL_1998,Alabama,AL,1998,1,Richard Shelby,Clayton Suddith,1,0,0,1,0
454,AL_sen_2002,AL_sen,AL_2002,Alabama,AL,2002,1,Jeff Sessions,Vivian Davis Figures,1,0,0,1,0
453,AL_sen_2004,AL_sen,AL_2004,Alabama,AL,2004,1,Richard Shelby,Wayne Sowell,1,0,0,1,0
455,AL_sen_2010,AL_sen,AL_2010,Alabama,AL,2010,1,Richard Shelby,William G  Barnes,1,0,0,1,0
456,AL_sen_2014,AL_sen,AL_2014,Alabama,AL,2014,1,Jeff Sessions,,1,0,0,1,0
457,AL_sen_2016,AL_sen,AL_2016,Alabama,AL,2016,1,Richard Shelby,Ron Crumpton,1,0,0,1,0
16,AR_sen_1978,AR_sen,AR_1978,Arkansas,AR,1978,0,David Pryor,Tom Kelly,0,1,0,0,0
17,AR_sen_1980,AR_sen,AR_1980,Arkansas,AR,1980,0,Dale Bumpers,William Clark,0,1,0,0,1
18,AR_sen_1984,AR_sen,AR_1984,Arkansas,AR,1984,0,David Pryor,Ed Bethune,0,1,0,0,1
22,AR_sen_1986,AR_sen,AR_1986,Arkansas,AR,1986,0,Dale Bumpers,Asa Hutchinson,0,1,0,0,1
23,AR_sen_1990,AR_sen,AR_1990,Arkansas,AR,1990,0,David Pryor  Democratic,Unopposed,0,1,1,0,1
24,AR_sen_1992,AR_sen,AR_1992,Arkansas,AR,1992,0,Dale Bumpers,Mike Huckabee,0,1,0,0,1
25,AR_sen_1996,AR_sen,AR_1996,Arkansas,AR,1996,1,Tim Hutchinson,Winston Bryant,0,1,0,0,0
26,AR_sen_1998,AR_sen,AR_1998,Arkansas,AR,1998,0,Blanche Lincoln,Fay Boozman,0,1,0,0,0
488,AR_sen_2002,AR_sen,AR_2002,Arkansas,AR,2002,0,Mark Pryor,Tim Hutchinson,1,0,0,1,0
27,AR_sen_2004,AR_sen,AR_2004,Arkansas,AR,2004,0,Blanche Lincoln,Jim Holt,0,1,0,0,1
29,AR_sen_2010,AR_sen,AR_2010,Arkansas,AR,2010,1,John Boozman,Blanche Lincoln,0,1,0,0,1
30,AR_sen_2014,AR_sen,AR_2014,Arkansas,AR,2014,1,Tom Cotton,Mark Pryor,0,1,0,0,1
489,AR_sen_2016,AR_sen,AR_2016,Arkansas,AR,2016,1,John Boozman,Conner Eldridge,1,0,0,1,0
474,AZ_sen_1976,AZ_sen,AZ_1976,Arizona,AZ,1976,0,Dennis DeConcini,Sam Steiger,1,0,0,0,0
475,AZ_sen_1980,AZ_sen,AZ_1980,Arizona,AZ,1980,1,Barry Goldwater,Bill Schulz,1,0,0,1,0
12,AZ_sen_1982,AZ_sen,AZ_1982,Arizona,AZ,1982,0,Dennis DeConcini,Pete Dunn,0,1,0,0,1
478,AZ_sen_1986,AZ_sen,AZ_1986,Arizona,AZ,1986,1,John McCain,Richard Kimball,1,0,0,0,0
