,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running,prez_GOP,approval_effects_GOP,approval_effects_DEM,nat_UR_effects_GOP,nat_UR_effects_DEM,state_UR_effects_GOP,state_UR_effects_DEM,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
0,AK_sen_1978,AK_sen,AK_1978,Alaska,AK,1978,1,Ted Stevens,Donald W  Hobbs,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,10.2,203084,178473,128568,101180,133656,18154,288403,12781,54741,14337,8525,0.532250752,0.46774924799999995,0.336956208,0.26517663199999997,0.350291044,0.047578737,0.7558582340000001,0.033496961,0.143467424,0.037574988999999996,0.022342663999999998
1,AL_sen_1978,AL_sen,AL_1978,Alabama,AL,1978,0,Howell Heflin,Jerome B  Couch,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.5,1829615,1974328,1176502,788346,1256746,582349,2770988,977720,7932,9413,34409,0.480978553,0.5190214470000001,0.309284866,0.20724443,0.33037981899999996,0.153090885,0.728451504,0.257028036,0.002085205,0.002474538,0.009045614
2,AL_sen2_1978,AL_sen,AL_1978,Alabama,AL,1978,0,Donald W  Stewart,James D  Martin,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.5,1829615,1974328,1176502,788346,1256746,582349,2770988,977720,7932,9413,34409,0.480978553,0.5190214470000001,0.309284866,0.20724443,0.33037981899999996,0.153090885,0.728451504,0.257028036,0.002085205,0.002474538,0.009045614
3,AR_sen_1978,AR_sen,AR_1978,Arkansas,AR,1978,0,David Pryor,Tom Kelly,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.4,1070212,1143595,668101,427351,713077,405278,1805936,368909,10608,6370,19195,0.48342606200000005,0.516573938,0.301788277,0.19303896,0.32210441100000003,0.183068352,0.815760362,0.166640091,0.0047917459999999995,0.002877396,0.008670584
4,CO_sen_1978,CO_sen,CO_1978,Colorado,CO,1978,1,William L  Armstrong,Floyd K  Haskell,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,5.1,1365310,1388113,801853,666524,951729,333317,2178611,94638,18579,31338,316875,0.49585915399999997,0.504140846,0.291220419,0.242071051,0.345653029,0.121055501,0.7912373070000001,0.034371036,0.006747601,0.01138147,0.115084025
5,DE_sen_1978,DE_sen,DE_1978,Delaware,DE,1978,0,Joe Biden,James H  Baxter,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,7.2,282746,302346,172696,126714,204111,81570,474269,92581,1244,4244,9424,0.48325049700000006,0.516749503,0.295160419,0.21657106899999998,0.34885283,0.139413973,0.8105887620000001,0.158233235,0.002126161,0.00725356,0.016106869
6,GA_sen_1978,GA_sen,GA_1978,Georgia,GA,1978,0,Sam Nunn,John W  Stokes,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,5.8,2558495,2729904,1645762,1154487,1793466,694685,3779849,1408978,8533,22575,58066,0.48379386700000004,0.516206133,0.311202313,0.218305578,0.339132127,0.131360172,0.714743536,0.266428082,0.0016135320000000002,0.004268778,0.010979883000000001
7,IA_sen_1978,IA_sen,IA_1978,Iowa,IA,1978,1,Roger Jepsen,Dick Clark,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,3.9,1407685,1488236,855686,600380,927854,512002,2804981,40302,5672,12283,24632,0.486092335,0.513907665,0.295479745,0.207319191,0.320400315,0.176801094,0.96859721,0.013916816,0.001958617,0.004241483,0.008505757
8,ID_sen_1978,ID_sen,ID_1978,Idaho,ID,1978,1,James A  McClure,Dwight Jensen,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,5.8,448074,449587,297978,189360,285229,125094,830489,2595,9756,6366,32507,0.499157254,0.500842746,0.331949366,0.210948231,0.3177469,0.13935550300000002,0.92516997,0.002890846,0.010868245,0.007091764,0.036213002
9,IL_sen_1978,IL_sen,IL_1978,Illinois,IL,1978,1,Charles H  Percy,Alex Seith,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,5.7,5508397,5855613,3353554,2390406,3888057,1731993,8747040,1624708,17972,153072,587122,0.48472299799999996,0.515277002,0.295103049,0.210348812,0.34213776700000004,0.15241037300000002,0.769714212,0.142969603,0.001581484,0.013469893,0.051665037000000004
