state_year,state,year,unemployment_rate_state_oct
AL_1976,AL,1976,7
AL_1977,AL,1977,6.8
AL_1978,AL,1978,6.5
AL_1979,AL,1979,7.2
AL_1980,AL,1980,9.6
AL_1981,AL,1981,11.4
AL_1982,AL,1982,15.2
AL_1983,AL,1983,12.8
AL_1984,AL,1984,10.5
AL_1985,AL,1985,8.7
AL_1986,AL,1986,9.7
AL_1987,AL,1987,7.5
AL_1988,AL,1988,7.4
AL_1989,AL,1989,6.9
AL_1990,AL,1990,7
AL_1991,AL,1991,7.2
AL_1992,AL,1992,7.4
AL_1993,AL,1993,7.1
AL_1994,AL,1994,6
AL_1995,AL,1995,5.8
AL_1996,AL,1996,5.1
AL_1997,AL,1997,4.8
AL_1998,AL,1998,4.5
AL_1999,AL,1999,4.8
AL_2000,AL,2000,4.6
AL_2001,AL,2001,5.6
AL_2002,AL,2002,5.8
AL_2003,AL,2003,6.1
AL_2004,AL,2004,5.5
AL_2005,AL,2005,4.3
AL_2006,AL,2006,4
AL_2007,AL,2007,4.2
AL_2008,AL,2008,6.7
AL_2009,AL,2009,11.8
AL_2010,AL,2010,10.1
AL_2011,AL,2011,9
AL_2012,AL,2012,7.8
AL_2013,AL,2013,7.2
AL_2014,AL,2014,6.4
AL_2015,AL,2015,6
AL_2016,AL,2016,5.9
AL_2017,AL,2017,3.8
AK_1976,AK,1976,8.1
AK_1977,AK,1977,10.3
AK_1978,AK,1978,10.2
AK_1979,AK,1979,9.2
AK_1980,AK,1980,9.8
AK_1981,AK,1981,9.8
AK_1982,AK,1982,10.1
AK_1983,AK,1983,9.9
AK_1984,AK,1984,9.5
AK_1985,AK,1985,9.7
AK_1986,AK,1986,11
AK_1987,AK,1987,9.8
AK_1988,AK,1988,8.5
AK_1989,AK,1989,7
AK_1990,AK,1990,7.3
AK_1991,AK,1991,9
AK_1992,AK,1992,8.6
AK_1993,AK,1993,7.6
AK_1994,AK,1994,7.4
AK_1995,AK,1995,7.5
AK_1996,AK,1996,7.5
AK_1997,AK,1997,6.9
AK_1998,AK,1998,6.4
AK_1999,AK,1999,6.3
AK_2000,AK,2000,6.4
AK_2001,AK,2001,6.5
AK_2002,AK,2002,7.5
AK_2003,AK,2003,7.8
AK_2004,AK,2004,7.3
AK_2005,AK,2005,6.9
AK_2006,AK,2006,6.5
AK_2007,AK,2007,6.4
AK_2008,AK,2008,6.8
AK_2009,AK,2009,8
AK_2010,AK,2010,7.8
AK_2011,AK,2011,7.5
AK_2012,AK,2012,7
AK_2013,AK,2013,7
AK_2014,AK,2014,6.7
AK_2015,AK,2015,6.6
AK_2016,AK,2016,7
AK_2017,AK,2017,7.2
AZ_1976,AZ,1976,9.3
AZ_1977,AZ,1977,7.6
AZ_1978,AZ,1978,5.7
AZ_1979,AZ,1979,4.9
AZ_1980,AZ,1980,6.7
AZ_1981,AZ,1981,6.6
AZ_1982,AZ,1982,11.4
AZ_1983,AZ,1983,7
AZ_1984,AZ,1984,5.2
AZ_1985,AZ,1985,6.5
AZ_1986,AZ,1986,7.2
AZ_1987,AZ,1987,6.2
AZ_1988,AZ,1988,6.3
AZ_1989,AZ,1989,5.1
AZ_1990,AZ,1990,5.2
AZ_1991,AZ,1991,6.8
AZ_1992,AZ,1992,7.3
AZ_1993,AZ,1993,6.1
AZ_1994,AZ,1994,6
AZ_1995,AZ,1995,5.3
AZ_1996,AZ,1996,5.6
AZ_1997,AZ,1997,4.3
AZ_1998,AZ,1998,4.4
AZ_1999,AZ,1999,4.3
AZ_2000,AZ,2000,3.9
AZ_2001,AZ,2001,5.4
AZ_2002,AZ,2002,6.1
AZ_2003,AZ,2003,5.6
AZ_2004,AZ,2004,4.8
AZ_2005,AZ,2005,4.6
AZ_2006,AZ,2006,4
AZ_2007,AZ,2007,3.9
AZ_2008,AZ,2008,7.3
AZ_2009,AZ,2009,10.8
AZ_2010,AZ,2010,10.1
AZ_2011,AZ,2011,9.2
AZ_2012,AZ,2012,8
AZ_2013,AZ,2013,7.6
AZ_2014,AZ,2014,6.6
AZ_2015,AZ,2015,5.8
AZ_2016,AZ,2016,5.2
AZ_2017,AZ,2017,4.7
AR_1976,AR,1976,6.6
AR_1977,AR,1977,6.4
AR_1978,AR,1978,6.4
AR_1979,AR,1979,6.1
AR_1980,AR,1980,8.2
AR_1981,AR,1981,9
AR_1982,AR,1982,10.1
AR_1983,AR,1983,9.5
AR_1984,AR,1984,8.6
AR_1985,AR,1985,8.7
AR_1986,AR,1986,8.5
AR_1987,AR,1987,7.9
AR_1988,AR,1988,7.4
AR_1989,AR,1989,6.8
AR_1990,AR,1990,7.1
AR_1991,AR,1991,7.4
AR_1992,AR,1992,6.8
AR_1993,AR,1993,5.9
AR_1994,AR,1994,5.1
AR_1995,AR,1995,4.9
AR_1996,AR,1996,5.3
AR_1997,AR,1997,5.2
AR_1998,AR,1998,5.1
AR_1999,AR,1999,4.5
AR_2000,AR,2000,4.3
AR_2001,AR,2001,5.2
AR_2002,AR,2002,5.4
AR_2003,AR,2003,6
AR_2004,AR,2004,5.6
AR_2005,AR,2005,5.1
AR_2006,AR,2006,5.3
AR_2007,AR,2007,5.4
AR_2008,AR,2008,6.1
AR_2009,AR,2009,8
AR_2010,AR,2010,8.3
AR_2011,AR,2011,8
AR_2012,AR,2012,7.5
AR_2013,AR,2013,7
AR_2014,AR,2014,5.7
AR_2015,AR,2015,4.5
AR_2016,AR,2016,3.8
AR_2017,AR,2017,3.7
CA_1976,CA,1976,9.3
CA_1977,CA,1977,7.8
CA_1978,CA,1978,6.8
CA_1979,CA,1979,6.2
CA_1980,CA,1980,7.1
CA_1981,CA,1981,7.8
CA_1982,CA,1982,10.7
CA_1983,CA,1983,8.9
CA_1984,CA,1984,7.5
CA_1985,CA,1985,7
CA_1986,CA,1986,6.6
CA_1987,CA,1987,5.5
CA_1988,CA,1988,5.3
CA_1989,CA,1989,5.2
CA_1990,CA,1990,6.4
CA_1991,CA,1991,8
CA_1992,CA,1992,9.7
CA_1993,CA,1993,9.3
CA_1994,CA,1994,8.2
CA_1995,CA,1995,7.9
CA_1996,CA,1996,6.9
CA_1997,CA,1997,6.1
CA_1998,CA,1998,5.9
CA_1999,CA,1999,5.1
CA_2000,CA,2000,4.8
CA_2001,CA,2001,6
CA_2002,CA,2002,6.7
CA_2003,CA,2003,6.7
CA_2004,CA,2004,5.9
CA_2005,CA,2005,5.3
CA_2006,CA,2006,4.9
CA_2007,CA,2007,5.7
CA_2008,CA,2008,8.3
CA_2009,CA,2009,11.8
CA_2010,CA,2010,12.3
CA_2011,CA,2011,11.5
CA_2012,CA,2012,9.9
CA_2013,CA,2013,8.6
CA_2014,CA,2014,7.1
CA_2015,CA,2015,5.8
CA_2016,CA,2016,5.4
CA_2017,CA,2017,4.5
CO_1976,CO,1976,6.2
CO_1977,CO,1977,6.1
CO_1978,CO,1978,5.1
CO_1979,CO,1979,4.8
CO_1980,CO,1980,6.4
CO_1981,CO,1981,5.6
CO_1982,CO,1982,8.3
CO_1983,CO,1983,6
CO_1984,CO,1984,5.6
CO_1985,CO,1985,6.3
CO_1986,CO,1986,8.1
CO_1987,CO,1987,7
CO_1988,CO,1988,6.1
CO_1989,CO,1989,5.5
CO_1990,CO,1990,5.1
CO_1991,CO,1991,5.5
CO_1992,CO,1992,6.1
CO_1993,CO,1993,4.9
CO_1994,CO,1994,3.8
CO_1995,CO,1995,4.2
CO_1996,CO,1996,4.1
CO_1997,CO,1997,3.3
CO_1998,CO,1998,3.5
CO_1999,CO,1999,3
CO_2000,CO,2000,2.8
CO_2001,CO,2001,4.7
CO_2002,CO,2002,5.6
CO_2003,CO,2003,5.9
CO_2004,CO,2004,5.3
CO_2005,CO,2005,4.8
CO_2006,CO,2006,4.1
CO_2007,CO,2007,3.9
CO_2008,CO,2008,5.4
